siteName;source;river;gaugeId;qualityVerified;latitude;longitude
Tufanganj;CWC;Brahmaputra/Torsa/Raidak-i;CWC_025-LBDJPG;True;26.30888888888889;89.67555555555556
;HYBAS;;hybas_4120996540;True;22.452083333332155;72.01874999999598
Alipingal;CWC;Mahanadi/Devi;CWC_037-MDBURLA;True;20.16583333333333;86.16388888888889
;HYBAS;;hybas_4120942080;True;24.40624999999864;93.8354166666623
;HYBAS;;hybas_4121080440;True;17.627083333332166;80.02291666666258
Jhawa (Seasonal);CWC;Ganga/Mahananda;CWC_031-MGD4PTN;True;25.610277777777778;87.79083333333332
Sonamura (II);CWC;;CWC_012-MDSIL;True;23.473055555555554;91.26666666666668
;HYBAS;;hybas_4121023450;True;21.25208333333211;82.0437499999959
Rosera;CWC;Ganga/Burhi Gandak;CWC_006-MGD4PTN;True;25.74361111111111;86.01972222222223
Khadda;CWC;Ganga/Gandak;CWC_009-MGD4PTN;True;27.224999999999998;83.91000000000001
;HYBAS;;hybas_4121019320;True;21.44791666666555;71.55208333332928
Mathani Road Bridge;CWC;Jalaka;CWC_060-ERDBWN;True;21.668333333333333;87.065
Kalpi;CWC;Ganga/Yamuna;CWC_006-LYDAGR;True;26.128888888888888;79.75944444444444
Ghazipur;CWC;Ganga;CWC_007-MGD3VNS;True;25.56972222222222;83.57833333333333
;HYBAS;;hybas_4120730060;True;31.14791666666531;74.94374999999587
Jenapur;CWC;Brahmani;CWC_023-ERDBWN;True;20.88611111111111;86.01388888888889
;HYBAS;;hybas_4121507040;True;24.697916666665435;94.10624999999573
Kanpur;CWC;Ganga;CWC_012-MGD2LKN;True;26.46638889;80.38333333
Chenimari;CWC;"Brahmaputra/
Buridehing";CWC_013-UBDDIB;True;27.3125;94.88333333333334
;HYBAS;;hybas_4120731670;True;31.09374999999864;74.72708333332935
Buxar;CWC;Ganga;CWC_001-MGD5PTN;True;25.58;83.97222222222223
Kahalgaon;CWC;Ganga;CWC_007-MGD5PTN;True;25.268055555555556;87.22500000000001
Basua;CWC;Ganga/Kosi;CWC_023-MGD4PTN;True;26.147222222222222;86.54833333333333
Haralahalli;CWC;;CWC_003-CDBNG;True;14.830555555555556;75.67444444444446
Birdghat;CWC;Ganga/Ghaghra/Rapti;CWC_023-MGD1LKN;True;26.744444444444447;83.33999999999999
;HYBAS;;hybas_4121144770;True;11.577083333332268;79.6687499999959
Gandhighat;CWC;Ganga;CWC_003-MGD5PTN;True;25.623333333333335;85.17111111111112
Kachlabridge;CWC;Ganga;CWC_002-MGD2LKN;True;27.93111111111111;78.85555555555555
Moradabad;CWC;Ganga/Ramganga;CWC_008-MGD2LKN;True;28.825555555555557;78.79833333333333
Benibad;CWC;Ganga/Kosi/Bagmati;CWC_017-MGD4PTN;True;26.14527777777778;85.69222222222223
Balrampur;CWC;Ganga/Ghaghra/Rapti;CWC_018-MGD1LKN;True;27.436944444444446;82.22888888888889
Manderial;CWC;Ganga/Yamuna/ Chambal/Chambal /Chambal;CWC_013-CDJAPR;True;26.272499999999997;77.27527777777777
Elginbridge;CWC;Ganga/Ghaghra;CWC_010-MGD1LKN;True;27.095555555555553;81.48388888888888
Ekmighat;CWC;Ganga/Kosi/Bagmati/Adhwara;CWC_014-MGD4PTN;True;26.1175;85.87638888888888
Dhubri;CWC;Brahmaputra/ Brahmaputra;CWC_005-LBDJPG;True;26.01;89.99527777777777
Bansi;CWC;Ganga/Ghaghra/Rapti;CWC_019-MGD1LKN;True;27.183333333333334;82.9325
Auralya;CWC;Ganga/Yamuna;CWC_005-LYDAGRA;True;26.430833333333336;79.47
;HYBAS;;hybas_4121556550;True;19.84791666666553;85.75624999999582
Golokganj;CWC;Brahmaputra/Sonkosh;CWC_008-LBDJPG;True;26.107222222222223;89.81944444444444
Manas NH Crossing;CWC;Brahmaputra/Manas;CWC_004-LBDJPG;True;26.464166666666667;90.74972222222222
;HYBAS;;hybas_4120948760;True;24.193749999998715;93.8395833333289
Koelwar;CWC;Ganga/Sone;CWC_026-MGD5PTN;True;25.57138888888889;84.79777777777778
Terwad (Seasonal);CWC;Krishna/Panchganga;CWC_006-UKDPUNE;True;16.67527777777778;74.5736111111111
Phaphamau;CWC;Ganga;CWC_002-MGD3VNS;True;25.51;81.85472222222222
Mawi;CWC;Ganga/Yamuna;CWC_012-UYDDEL;True;29.384722222222223;77.15555555555557
;HYBAS;;hybas_4121517550;True;23.89791666666548;77.9229166666625
Delhi Rly Bridge;CWC;Ganga/Yamuna;CWC_015-UYDDEL;True;28.662499999999998;77.24666666666667
Kampur;CWC;Brahmaputra/ Kopili;CWC_033-UBDDIB;True;26.153055555555554;92.6563888888889
Sirpur;CWC;Godavari/Pranhita/Wardha;CWC_028-WGDNGP;True;19.56138888888889;79.61555555555555
;HYBAS;;hybas_4120998630;True;22.364583333332064;84.48124999999578
;HYBAS;;hybas_4120964540;True;23.66041666666541;78.35208333332923
Bareilly;CWC;Ganga/Ramganga;CWC_009-MGD2LKN;True;28.299166666666668;79.36666666666666
;HYBAS;;hybas_4120945300;True;24.306249999998727;71.60624999999595
Jagdalpur;CWC;Godavari/Indravati;CWC_006-LGDHYD;True;19.106944444444444;82.02388888888889
Kaleswaram;CWC;Godavari;CWC_002-LGDHYD;True;18.810555555555556;79.91888888888889
Naharkatia;CWC;Brahmaputra/ Buridehing;CWC_012-UBDDIB;True;27.320833333333333;95.31055555555555
;HYBAS;;hybas_4120991830;True;22.64374999999876;71.8979166666627
Araria (seasonal);CWC;Ganga/Mahananda/Parman;CWC_029-MGD4PTN;True;26.129166666666666;87.48583333333333
;HYBAS;;hybas_4120782310;True;29.48124999999873;74.12291666666266
;HYBAS;;hybas_4121046040;True;19.89374999999876;85.5937499999958
Kamtaul;CWC;Ganga/Kosi/Bagmati/Adhwara;CWC_013-MGD4PTN;True;26.346944444444443;85.80083333333333
;HYBAS;;hybas_4121142560;True;11.939583333332225;79.71041666666252
;HYBAS;;hybas_4121008110;True;21.96874999999875;71.95624999999603
Batpurwaghat;CWC;Ganga/Gomti;CWC_006-MGD2LKN;True;27.18888888888889;80.80138888888888
Purushottampu;CWC;Rushikulya;CWC_029-ERDBWN;True;19.514722222222222;84.88333333333334
Dhengraghat;CWC;Ganga/Mahananda;CWC_030-MGD4PTN;True;25.847777777777775;87.80305555555556
Dharamtul;CWC;"Brahmaputra/
Kopili";CWC_034-UBDDIB;True;26.166666666666668;92.35527777777777
Paliakalan;CWC;Ganga/Ghaghra/Sharda;CWC_006-MGD1LKN;True;28.383333333333333;80.5525
Eturunagaram;CWC;Godavari;CWC_015-LGDHYD;True;18.351944444444445;80.46777777777778
Pali;CWC;Ganga/Yamuna/ Chambal/Chambal /Chambal;CWC_012-CDJAPR;True;25.863333333333333;76.57666666666667
;HYBAS;;hybas_4121059410;True;19.09791666666547;84.72708333332912
Banda;CWC;Ganga/Yamuna/Ken;CWC_014-LYDAGRA;True;25.483333333333334;80.31333333333333
;HYBAS;;hybas_4120801120;True;28.9104166666653;75.97708333332923
Maner (Seasonal);CWC;Ganga/Sone;CWC_027-MGD5PTN;True;25.65;84.8286111111111
Shardanagar;CWC;Ganga/Ghaghra/Sharda;CWC_007-MGD1LKN;True;28.161388888888887;80.79805555555555
Numaligarh;CWC;"Brahmaputra/
Dhansiri(South)";CWC_024-UBDDIB;True;26.63111111111111;93.73083333333334
;HYBAS;;hybas_4120957350;True;23.910416666665355;78.30624999999577
Bamni;CWC;Godavari/Pranhita/Wardha;CWC_017-WGDNGP;True;19.813333333333333;79.38277777777778
Sivasagar;CWC;Brahmaputra/ Dikhow;CWC_018-UBDDIB;True;26.981944444444444;94.57916666666667
;HYBAS;;hybas_4120979640;True;23.11458333333212;71.80208333332939
Matizuri;CWC;Barak/Katakhal;CWC_015-MBDGHY;True;24.648333333333333;92.60833333333333
Anandapur;CWC;Baitarni;CWC_015-ERDBWN;True;21.211111111111112;86.12055555555555
NH-31;CWC;Brahmaputra/Jaldhaka;CWC_027-LBDJPG;True;26.56972222222222;88.93833333333333
;HYBAS;;hybas_4121421240;True;31.35208333333202;75.16041666666263
Ganga Nagar;CWC;;CWC_012-HGDDDN;True;30.40083333333333;79.03999999999998
Sripalpur;CWC;Ganga/Punpun;CWC_021-MGD5PTN;True;25.50138888888889;85.10972222222222
;HYBAS;;hybas_4121560580;True;19.243749999998897;79.77291666666264
Guwahati;CWC;Brahmaputra;CWC_001-MBDGHY;True;26.19472222222222;91.74305555555556
Chatia;CWC;Ganga/Gandak;CWC_010-MGD4PTN;True;26.496111111111112;84.535
Hetimpur;CWC;Ganga/Ghaghra/Little Gandak;CWC_016-MGD1LKN;True;26.75;83.83305556
Tezpur;CWC;Brahmaputra;CWC_031-UBDDIB;True;26.615555555555556;92.79666666666667
Trimohinighat;CWC;Ganga/Ghaghra/Rapti/Rohin;CWC_021-MGD1LKN;True;27.099444444444444;83.41916666666667
Badatighat;CWC;"Brahmaputra/
Subansiri";CWC_022-UBDDIB;True;26.934722222222224;93.96222222222222
Mandla;CWC;Narmada;CWC_010-NDBHP;True;22.604166666666668;80.36194444444443
;HYBAS;;hybas_4120876250;True;26.51041666666537;74.24374999999594
;HYBAS;;hybas_4121537280;True;22.28541666666541;82.21458333332919
Govindapur;CWC;Burhabalang;CWC_005-ERDBWN;True;21.545555555555556;86.91805555555555
Baltara;CWC;Ganga/Kosi;CWC_024-MGD4PTN;True;25.500555555555554;86.75
